AccidentUID,AccidentType,AccidentType_de,AccidentType_fr,AccidentType_it,AccidentType_en,AccidentSeverityCategory,AccidentSeverityCategory_de,AccidentSeverityCategory_fr,AccidentSeverityCategory_it,AccidentSeverityCategory_en,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,RoadType_de,RoadType_fr,RoadType_it,RoadType_en,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,CantonCode,MunicipalityCode,AccidentYear,AccidentMonth,AccidentMonth_de,AccidentMonth_fr,AccidentMonth_it,AccidentMonth_en,AccidentWeekDay,AccidentWeekDay_de,AccidentWeekDay_fr,AccidentWeekDay_it,AccidentWeekDay_en,AccidentHour,AccidentHour_text,Datum,weather_condition,temperature
07D600AD6B8E0240E0630AB38B020298,at1,Überholunfall oder Fahrstreifenwechsel,accident lors d'un dépassement ou lors d'un changement de voie de circulation,Incidente di sorpasso o al cambiamento di corsia,Accident when overtaking or changing lanes,as3,Unfall mit Leichtverletzten,accident avec blessés légers,Incidente con feriti leggeri,Accident with light injuries,FALSE,TRUE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2681466,1247402,ZH,261,2023,9,September,septembre,Settembre,September,aw401,Montag,lundi,Lunedí,Monday,20,20,2023-09-11,clear-night,21.2
07D600AD7C290240E0630AB38B020298,at2,Auffahrunfall,accident par tamponnement,Incidente di tamponamento,Accident with rear-end collision,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2679483,1249243,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw405,Freitag,vendredi,Venerdì,Friday,18,18,2023-10-13,clear-night,18.0
07D600AD821B0240E0630AB38B020298,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt439,andere,autre,Altro,Other,2684203,1247867,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw404,Donnerstag,jeudi,Giovedì,Thursday,17,17,2023-10-12,partly-cloudy-night,21.0
07D600ADAEF10240E0630AB38B020298,at2,Auffahrunfall,accident par tamponnement,Incidente di tamponamento,Accident with rear-end collision,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2681020,1249292,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw407,Sonntag,dimanche,Domenica,Sunday,20,20,2023-10-01,clear-night,15.4
07D600ADBBD80240E0630AB38B020298,at7,Parkierunfall,accident en parquant,Incidente nel parcheggiare,Accident when parking,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt439,andere,autre,Altro,Other,2677624,1247052,ZH,261,2023,9,September,septembre,Settembre,September,aw405,Freitag,vendredi,Venerdì,Friday,22,22,2023-09-22,cloudy,12.7
07D600ADC21C0240E0630AB38B020298,at7,Parkierunfall,accident en parquant,Incidente nel parcheggiare,Accident when parking,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2684711,1250941,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw405,Freitag,vendredi,Venerdì,Friday,16,16,2023-10-13,clear-day,25.0
07D600ADC9FD0240E0630AB38B020298,at2,Auffahrunfall,accident par tamponnement,Incidente di tamponamento,Accident with rear-end collision,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2683030,1249526,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw401,Montag,lundi,Lunedí,Monday,9,09,2023-10-09,clear-day,17.0
07E49276381601C0E0630AB38B0234B8,at2,Auffahrunfall,accident par tamponnement,Incidente di tamponamento,Accident with rear-end collision,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,TRUE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2682046,1247008,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw404,Donnerstag,jeudi,Giovedì,Thursday,19,19,2023-10-12,partly-cloudy-night,18.0
07E49276390601C0E0630AB38B0234B8,at5,Überqueren der Fahrbahn,accident en traversant une route,Incidente nell'attraversare la carreggiata,Accident when crossing the lane(s),as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,TRUE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2684746,1246942,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw406,Samstag,samedi,Sabato,Saturday,10,10,2023-10-07,partly-cloudy-day,17.0
07E92AE9FE3B02EEE0630AB38B025A50,at4,Einbiegeunfall,accident en s'engageant sur une route,Incidente nell’immettersi in una strada,Accident when turning-into main road,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,TRUE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2682515,1243937,ZH,261,2023,8,August,août,Agosto,August,aw403,Mittwoch,mercredi,Mercoledì,Wednesday,18,18,2023-08-23,clear-day,28.0
