"","AccidentUID","AccidentType","AccidentType_de","AccidentType_fr","AccidentType_it","AccidentType_en","AccidentSeverityCategory","AccidentSeverityCategory_de","AccidentSeverityCategory_fr","AccidentSeverityCategory_it","AccidentSeverityCategory_en","AccidentInvolvingPedestrian","AccidentInvolvingBicycle","AccidentInvolvingMotorcycle","RoadType","RoadType_de","RoadType_fr","RoadType_it","RoadType_en","AccidentLocation_CHLV95_E","AccidentLocation_CHLV95_N","CantonCode","MunicipalityCode","AccidentYear","AccidentMonth","AccidentMonth_de","AccidentMonth_fr","AccidentMonth_it","AccidentMonth_en","AccidentWeekDay","AccidentWeekDay_de","AccidentWeekDay_fr","AccidentWeekDay_it","AccidentWeekDay_en","AccidentHour","AccidentHour_text","Datum"
"5004","FCE456CB2A1201D0E0530AB38B020E4B","at0","Schleuder- oder Selbstunfall","dérapage ou perte de maîtrise","Incidente di sbandamento o per colpa propria","Accident with skidding or self-accident","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2684001,1247182,"ZH",261,2023,3,"März","mars","Marzo","March","aw405","Freitag","vendredi","Venerdì","Friday",16,"16h-17h","03.03.23"
"5005","FCE457A9DCB00106E0530AB38B024A42","at1","Überholunfall oder Fahrstreifenwechsel","accident lors d'un dépassement ou lors d'un changement de voie de circulation","Incidente di sorpasso o al cambiamento di corsia","Accident when overtaking or changing lanes","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt432","Hauptstrasse","route principale","Strada principale","Principal road",2681040,1249315,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw407","Sonntag","dimanche","Domenica","Sunday",11,"11h-12h","28.05.23"
"5006","FCE457A9F3210106E0530AB38B024A42","at3","Abbiegeunfall","accident en quittant une route","Incidente nello svoltare","Accident when turning left or right","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","true","rt432","Hauptstrasse","route principale","Strada principale","Principal road",2682107,1249353,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw401","Montag","lundi","Lunedí","Monday",15,"15h-16h","29.05.23"
"5007","FCE458743F7F0274E0530AB38B024200","at4","Einbiegeunfall","accident en s'engageant sur une route","Incidente nell’immettersi in una strada","Accident when turning-into main road","as3","Unfall mit Leichtverletzten","accident avec blessés légers","Incidente con feriti leggeri","Accident with light injuries","false","false","true","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2680457,1247472,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw407","Sonntag","dimanche","Domenica","Sunday",17,"17h-18h","28.05.23"
"5008","FCE4587440190274E0530AB38B024200","at2","Auffahrunfall","accident par tamponnement","Incidente di tamponamento","Accident with rear-end collision","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt432","Hauptstrasse","route principale","Strada principale","Principal road",2679638,1253301,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw403","Mittwoch","mercredi","Mercoledì","Wednesday",17,"17h-18h","24.05.23"
"5009","FCE45874628A0274E0530AB38B024200","at2","Auffahrunfall","accident par tamponnement","Incidente di tamponamento","Accident with rear-end collision","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2679287,1247738,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw405","Freitag","vendredi","Venerdì","Friday",18,"18h-19h","26.05.23"
"5010","FCE716E650970168E0530AB38B025065","at4","Einbiegeunfall","accident en s'engageant sur une route","Incidente nell’immettersi in una strada","Accident when turning-into main road","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","true","false","rt432","Hauptstrasse","route principale","Strada principale","Principal road",2683584,1252459,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw401","Montag","lundi","Lunedí","Monday",18,"18h-19h","15.05.23"
"5011","FCF799C74F7F02F6E0530AB38B0258AD","at1","Überholunfall oder Fahrstreifenwechsel","accident lors d'un dépassement ou lors d'un changement de voie de circulation","Incidente di sorpasso o al cambiamento di corsia","Accident when overtaking or changing lanes","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2682563,1248808,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw404","Donnerstag","jeudi","Giovedì","Thursday",17,"17h-18h","25.05.23"
"5012","FCF79D844C640236E0530AB38B022CAE","at5","Überqueren der Fahrbahn","accident en traversant une route","Incidente nell'attraversare la carreggiata","Accident when crossing the lane(s)","as3","Unfall mit Leichtverletzten","accident avec blessés légers","Incidente con feriti leggeri","Accident with light injuries","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2684122,1246672,"ZH",261,2023,4,"April","avril","Aprile","April","aw404","Donnerstag","jeudi","Giovedì","Thursday",19,"19h-20h","13.04.23"
"5013","FCF79D844CC70236E0530AB38B022CAE","at1","Überholunfall oder Fahrstreifenwechsel","accident lors d'un dépassement ou lors d'un changement de voie de circulation","Incidente di sorpasso o al cambiamento di corsia","Accident when overtaking or changing lanes","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2683338,1248208,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw402","Dienstag","mardi","Martedì","Tuesday",10,"10h-11h","23.05.23"
"5014","FCFA16A05A9B02CEE0530AB38B02DE38","at0","Schleuder- oder Selbstunfall","dérapage ou perte de maîtrise","Incidente di sbandamento o per colpa propria","Accident with skidding or self-accident","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2682209,1250032,"ZH",261,2023,3,"März","mars","Marzo","March","aw407","Sonntag","dimanche","Domenica","Sunday",14,"14h-15h","19.03.23"
"5015","FCFA903A88000100E0530AB38B027B6B","at1","Überholunfall oder Fahrstreifenwechsel","accident lors d'un dépassement ou lors d'un changement de voie de circulation","Incidente di sorpasso o al cambiamento di corsia","Accident when overtaking or changing lanes","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt432","Hauptstrasse","route principale","Strada principale","Principal road",2681196,1247168,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw402","Dienstag","mardi","Martedì","Tuesday",15,"15h-16h","16.05.23"
"5016","FCFFED4D614A02ECE0530AB38B027315","at7","Parkierunfall","accident en parquant","Incidente nel parcheggiare","Accident when parking","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2683779,1246109,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw402","Dienstag","mardi","Martedì","Tuesday",19,"19h-20h","23.05.23"
"5017","FCFFED4D64E002ECE0530AB38B027315","at5","Überqueren der Fahrbahn","accident en traversant une route","Incidente nell'attraversare la carreggiata","Accident when crossing the lane(s)","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2684728,1246278,"ZH",261,2023,4,"April","avril","Aprile","April","aw402","Dienstag","mardi","Martedì","Tuesday",11,"11h-12h","11.04.23"
"5018","FCFFFE5D4AAD01D0E0530AB38B023C61","at7","Parkierunfall","accident en parquant","Incidente nel parcheggiare","Accident when parking","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2683327,1246931,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw402","Dienstag","mardi","Martedì","Tuesday",12,"12h-13h","23.05.23"
"5019","FD0BBB4609B401B0E0530AB38B023514","at7","Parkierunfall","accident en parquant","Incidente nel parcheggiare","Accident when parking","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2681948,1248070,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw406","Samstag","samedi","Sabato","Saturday",2,"02h-03h","13.05.23"
"5020","FD0EF4E6920C02C6E0530AB38B024FA8","at8","Fussgängerunfall","accident impliquant des piétons","Incidente con pedoni","Accident involving pedestrian(s)","as3","Unfall mit Leichtverletzten","accident avec blessés légers","Incidente con feriti leggeri","Accident with light injuries","true","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2681784,1247622,"ZH",261,2023,2,"Februar","février","Febbraio","February","aw401","Montag","lundi","Lunedí","Monday",12,"12h-13h","20.02.23"
"5021","FD0EF4E6929502C6E0530AB38B024FA8","at2","Auffahrunfall","accident par tamponnement","Incidente di tamponamento","Accident with rear-end collision","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2684757,1246310,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw403","Mittwoch","mercredi","Mercoledì","Wednesday",16,"16h-17h","10.05.23"
